GEOID,year,total_wind_score
13057,2004,0
13059,2004,0
13061,2004,90.94407524081113
13063,2004,0
13065,2004,109.01373185518234
13067,2004,0
13069,2004,68.00000001861576
13071,2004,91.10803779009353
13073,2004,0
13075,2004,67.99999998108322
13077,2004,0
13079,2004,33.9999999866896
13081,2004,67.99999995886529
13083,2004,0
13085,2004,0
13087,2004,137.21078030394898
13089,2004,0
13091,2004,53.16309702797621
13093,2004,49.17285349420749
13095,2004,100.05064270819298
13097,2004,0
13099,2004,131.3861999991772
13101,2004,139.50741088355718
13103,2004,0
13105,2004,0
13107,2004,23.064066880400116
13109,2004,33.14266325892555
13111,2004,0
13113,2004,0
13115,2004,0
13117,2004,0
13119,2004,0
13121,2004,0
13123,2004,0
13125,2004,0
13127,2004,58.5406605322002
13129,2004,0
13131,2004,142.0519394569783
13133,2004,0
13135,2004,0
13137,2004,0
13139,2004,0
13141,2004,0.17944657273477185
13143,2004,0
13145,2004,34.000000010303125
13147,2004,0
13149,2004,0
13151,2004,0
13153,2004,34.00000000368563
13155,2004,68.00000002426455
13157,2004,0
13159,2004,3.6252081258962514
13161,2004,67.99999998261796
13163,2004,0.6458594145643235
13165,2004,0
13167,2004,33.99999999921067
13169,2004,33.122886472311365
13171,2004,32.3788299339037
13173,2004,91.00535625928202
13175,2004,34.24918450237983
13177,2004,71.64364621024573
13179,2004,7.924192931684173
13181,2004,0
13183,2004,45.193163055746965
13185,2004,143.73685820188925
13187,2004,0
13189,2004,0
13191,2004,20.535555413245653
13193,2004,34.00000000962383
13195,2004,0
13197,2004,33.999999992536104
13199,2004,20.728566434860046
13201,2004,114.98172812856029
13205,2004,103.25620525234041
13207,2004,33.47255818706943
13209,2004,42.58952354121029
13211,2004,0
13213,2004,0
13215,2004,33.99999999884579
13217,2004,0
13219,2004,0
13221,2004,0
13223,2004,0
13225,2004,33.999999960287475
13227,2004,0
13229,2004,68.00000000931327
13231,2004,27.709678949430504
13233,2004,0
13235,2004,45.18826407074916
13237,2004,0.052950623060942774
13239,2004,45.18279236361521
13241,2004,0
13243,2004,66.62052657231075
13245,2004,0
13247,2004,0
13249,2004,34.00000002452611
13251,2004,0
13253,2004,137.71845915477198
13255,2004,0.4300499849066679
13257,2004,0
13259,2004,34.0051953446415
13261,2004,51.58086221526779
13263,2004,33.999999984067934
13265,2004,0
13267,2004,38.77520236362517
13269,2004,33.99999999107949
13271,2004,68.00000001295172
13273,2004,78.64277098913243
13275,2004,157.7508187293254
13277,2004,68.00000002256023
13279,2004,41.765372435781536
13281,2004,0
13283,2004,34.00000002040295
13285,2004,9.23441176416379
13287,2004,67.99999999334776
13289,2004,34.00000001057376
13291,2004,0
13293,2004,34.00000001953823
13295,2004,0
13297,2004,0
13299,2004,90.64628452734844
13301,2004,0
13303,2004,17.155416317109513
13305,2004,67.99999998673117
13307,2004,34.465927692853114
13309,2004,53.86697710224115
13311,2004,0
13313,2004,0
13315,2004,68.00000000451779
13317,2004,0
13319,2004,34.00000001110753
13321,2004,73.42767171940703
16001,2004,0
16003,2004,0
16005,2004,0
16007,2004,0
16009,2004,0
16011,2004,0
16013,2004,0
16015,2004,0
16017,2004,0
16019,2004,0
16021,2004,0
16023,2004,0
16025,2004,0
16027,2004,0
16029,2004,0
16031,2004,0
16033,2004,0
16035,2004,0
16037,2004,0
16039,2004,0
16041,2004,0
16043,2004,0
16045,2004,0
16047,2004,0
16049,2004,0
16051,2004,0
16053,2004,0
16055,2004,0
16057,2004,0
16059,2004,0
16061,2004,0
16063,2004,0
16065,2004,0
16067,2004,0
16069,2004,0
16071,2004,0
16073,2004,0
16075,2004,0
16077,2004,0
16079,2004,0
16081,2004,0
16083,2004,0
16085,2004,0
16087,2004,0
17001,2004,0
17003,2004,0
17005,2004,0
17007,2004,0
17009,2004,0
17011,2004,0
17013,2004,0
17015,2004,0
17017,2004,0
17019,2004,0
17021,2004,0
17023,2004,0
17025,2004,0
17027,2004,0
17029,2004,0
17031,2004,0
17033,2004,0
17035,2004,0
17037,2004,0
17039,2004,0
17041,2004,0
17043,2004,0
17045,2004,0
17047,2004,0
17049,2004,0
17051,2004,0
17053,2004,0
17055,2004,0
17057,2004,0
17059,2004,0
17061,2004,0
17063,2004,0
17065,2004,0
17067,2004,0
17069,2004,0
17071,2004,0
17073,2004,0
17075,2004,0
17077,2004,0
17079,2004,0
17081,2004,0
17083,2004,0
17085,2004,0
17087,2004,0
17089,2004,0
17091,2004,0
17093,2004,0
17095,2004,0
17097,2004,0
17099,2004,0
17101,2004,0
17103,2004,0
17105,2004,0
17107,2004,0
17109,2004,0
17111,2004,0
17113,2004,0
17115,2004,0
17117,2004,0
17119,2004,0
17121,2004,0
17123,2004,0
17125,2004,0
17127,2004,0
17129,2004,0
17131,2004,0
17133,2004,0
17135,2004,0
17137,2004,0
17139,2004,0
17141,2004,0
17143,2004,0
17145,2004,0
17147,2004,0
17149,2004,0
17151,2004,0
17153,2004,0
17155,2004,0
17157,2004,0
17159,2004,0
17161,2004,0
17163,2004,0
17165,2004,0
17167,2004,0
17169,2004,0
17171,2004,0
17173,2004,0
17175,2004,0
17177,2004,0
17179,2004,0
17181,2004,0
17183,2004,0
17185,2004,0
17187,2004,0
17189,2004,0
17191,2004,0
17193,2004,0
17195,2004,0
17197,2004,0
17199,2004,0
17201,2004,0
17203,2004,0
18001,2004,0
18003,2004,0
18005,2004,0
18007,2004,0
18009,2004,0
18011,2004,0
18013,2004,0
18015,2004,0
18017,2004,0
18019,2004,0
18021,2004,0
18023,2004,0
18025,2004,0
18027,2004,0
18029,2004,0
18031,2004,0
18033,2004,0
18035,2004,0
18037,2004,0
18039,2004,0
18041,2004,0
18043,2004,0
18045,2004,0
18047,2004,0
18049,2004,0
18051,2004,0
18053,2004,0
18055,2004,0
18057,2004,0
18059,2004,0
18061,2004,0
18063,2004,0
18065,2004,0
18067,2004,0
18069,2004,0
18071,2004,0
18073,2004,0
18075,2004,0
18077,2004,0
18079,2004,0
18081,2004,0
18083,2004,0
18085,2004,0
18087,2004,0
18089,2004,0
18091,2004,0
18093,2004,0
18095,2004,0
18097,2004,0
18099,2004,0
18101,2004,0
18103,2004,0
18105,2004,0
18107,2004,0
18109,2004,0
18111,2004,0
18113,2004,0
18115,2004,0
18117,2004,0
18119,2004,0
18121,2004,0
18123,2004,0
18125,2004,0
18127,2004,0
18129,2004,0
18131,2004,0
18133,2004,0
18135,2004,0
18137,2004,0
18139,2004,0
18141,2004,0
18143,2004,0
18145,2004,0
18147,2004,0
18149,2004,0
18151,2004,0
18153,2004,0
18155,2004,0
18157,2004,0
18159,2004,0
18161,2004,0
18163,2004,0
18165,2004,0
18167,2004,0
18169,2004,0
18171,2004,0
18173,2004,0
18175,2004,0
18177,2004,0
18179,2004,0
18181,2004,0
18183,2004,0
19001,2004,0
19003,2004,0
19005,2004,0
19007,2004,0
19009,2004,0
19011,2004,0
19013,2004,0
19015,2004,0
19017,2004,0
19019,2004,0
19021,2004,0
19023,2004,0
19025,2004,0
19027,2004,0
19029,2004,0
19031,2004,0
19033,2004,0
19035,2004,0
19037,2004,0
19039,2004,0
19041,2004,0
19043,2004,0
19045,2004,0
19047,2004,0
19049,2004,0
19051,2004,0
19053,2004,0
19055,2004,0
19057,2004,0
19059,2004,0
19061,2004,0
19063,2004,0
19065,2004,0
19067,2004,0
19069,2004,0
19071,2004,0
19073,2004,0
19075,2004,0
19077,2004,0
19079,2004,0
19081,2004,0
19083,2004,0
19085,2004,0
19087,2004,0
19089,2004,0
19091,2004,0
19093,2004,0
19095,2004,0
19097,2004,0
19099,2004,0
19101,2004,0
19103,2004,0
19105,2004,0
19107,2004,0
19109,2004,0
19111,2004,0
19113,2004,0
19115,2004,0
19117,2004,0
19119,2004,0
19121,2004,0
19123,2004,0
19125,2004,0
19127,2004,0
19129,2004,0
19131,2004,0
19133,2004,0
19135,2004,0
19137,2004,0
19139,2004,0
19141,2004,0
19143,2004,0
19145,2004,0
19147,2004,0
19149,2004,0
19151,2004,0
19153,2004,0
19155,2004,0
19157,2004,0
19159,2004,0
19161,2004,0
19163,2004,0
19165,2004,0
19167,2004,0
19169,2004,0
19171,2004,0
19173,2004,0
19175,2004,0
19177,2004,0
19179,2004,0
19181,2004,0
19183,2004,0
19185,2004,0
19187,2004,0
19189,2004,0
19191,2004,0
19193,2004,0
19195,2004,0
19197,2004,0
20001,2004,0
20003,2004,0
20005,2004,0
20007,2004,0
20009,2004,0
20011,2004,0
20013,2004,0
20015,2004,0
20017,2004,0
20019,2004,0
20021,2004,0
20023,2004,0
20025,2004,0
20027,2004,0
20029,2004,0
20031,2004,0
20033,2004,0
20035,2004,0
20037,2004,0
20039,2004,0
20041,2004,0
20043,2004,0
20045,2004,0
20047,2004,0
20049,2004,0
20051,2004,0
20053,2004,0
20055,2004,0
20057,2004,0
20059,2004,0
20061,2004,0
20063,2004,0
20065,2004,0
20067,2004,0
20069,2004,0
20071,2004,0
20073,2004,0
20075,2004,0
20077,2004,0
20079,2004,0
20081,2004,0
20083,2004,0
20085,2004,0
20087,2004,0
20089,2004,0
20091,2004,0
20093,2004,0
20095,2004,0
20097,2004,0
20099,2004,0
20101,2004,0
20103,2004,0
20105,2004,0
20107,2004,0
20109,2004,0
20111,2004,0
20113,2004,0
20115,2004,0
20117,2004,0
20119,2004,0
20121,2004,0
20123,2004,0
20125,2004,0
20127,2004,0
20129,2004,0
20131,2004,0
20133,2004,0
20135,2004,0
20137,2004,0
20139,2004,0
20141,2004,0
20143,2004,0
20145,2004,0
20147,2004,0
20149,2004,0
20151,2004,0
20153,2004,0
20155,2004,0
20157,2004,0
20159,2004,0
20161,2004,0
20163,2004,0
20165,2004,0
20167,2004,0
20169,2004,0
20171,2004,0
20173,2004,0
20175,2004,0
20177,2004,0
20179,2004,0
20181,2004,0
20183,2004,0
20185,2004,0
20187,2004,0
20189,2004,0
20191,2004,0
20193,2004,0
20195,2004,0
20197,2004,0
20199,2004,0
20201,2004,0
20203,2004,0
20205,2004,0
20207,2004,0
20209,2004,0
21001,2004,0
21003,2004,0
21005,2004,0
21007,2004,0
21009,2004,0
21011,2004,0
21013,2004,0
21015,2004,0
21017,2004,0
21019,2004,0
21021,2004,0
21023,2004,0
21025,2004,0
21027,2004,0
21029,2004,0
21031,2004,0
21033,2004,0
21035,2004,0
21037,2004,0
21039,2004,0
21041,2004,0
21043,2004,0
21045,2004,0
21047,2004,0
21049,2004,0
21051,2004,0
21053,2004,0
21055,2004,0
21057,2004,0
21059,2004,0
21061,2004,0
21063,2004,0
21065,2004,0
21067,2004,0
21069,2004,0
21071,2004,0
21073,2004,0
21075,2004,0
21077,2004,0
21079,2004,0
21081,2004,0
21083,2004,0
21085,2004,0
21087,2004,0
21089,2004,0
21091,2004,0
21093,2004,0
21095,2004,0
21097,2004,0
21099,2004,0
21101,2004,0
21103,2004,0
21105,2004,0
21107,2004,0
21109,2004,0
21111,2004,0
21113,2004,0
21115,2004,0
21117,2004,0
21119,2004,0
21121,2004,0
21123,2004,0
21125,2004,0
21127,2004,0
21129,2004,0
21131,2004,0
21133,2004,0
21135,2004,0
21137,2004,0
21139,2004,0
21141,2004,0
21143,2004,0
21145,2004,0
21147,2004,0
21149,2004,0
21151,2004,0
21153,2004,0
21155,2004,0
21157,2004,0
21159,2004,0
21161,2004,0
21163,2004,0
21165,2004,0
21167,2004,0
21169,2004,0
21171,2004,0
21173,2004,0
21175,2004,0
21177,2004,0
21179,2004,0
21181,2004,0
21183,2004,0
21185,2004,0
21187,2004,0
21189,2004,0
21191,2004,0
21193,2004,0
21195,2004,0
21197,2004,0
21199,2004,0
21201,2004,0
21203,2004,0
21205,2004,0
21207,2004,0
21209,2004,0
21211,2004,0
21213,2004,0
21215,2004,0
21217,2004,0
21219,2004,0
21221,2004,0
21223,2004,0
21225,2004,0
21227,2004,0
21229,2004,0
21231,2004,0
21233,2004,0
21235,2004,0
21237,2004,0
21239,2004,0
22001,2004,0
22003,2004,0
22005,2004,68.737302026080215
22007,2004,78.30318563100103
22009,2004,0
22011,2004,0
22013,2004,0
22015,2004,0
22017,2004,0
22019,2004,0
22021,2004,0
22023,2004,7.311499935892708
22025,2004,0
22027,2004,0
22029,2004,0
22031,2004,0
22033,2004,61.21797777754061
22035,2004,0
22037,2004,42.02500735627142
22039,2004,0
22041,2004,0
22043,2004,0
22045,2004,12.724556653707861
22047,2004,35.68387215281384
22049,2004,0
22051,2004,111.61991153179633
22053,2004,0
22055,2004,0
22057,2004,113.27948220943546
22059,2004,0
22061,2004,0
22063,2004,69.6319308109476
22065,2004,0
22067,2004,0
22069,2004,0
22071,2004,129.43807445514548
22073,2004,0
22075,2004,167.2607270918103
22077,2004,0
22079,2004,0
22081,2004,0
22083,2004,0
22085,2004,0
22087,2004,162.10211573023014
22089,2004,102.00000000330175
22091,2004,68.00000001400811
22093,2004,90.54844913471067
22095,2004,101.92469527208993
22097,2004,0
22099,2004,16.146674997506015
22101,2004,35.80097986815429
22103,2004,132.12913633782003
22105,2004,74.46338809479283
22107,2004,0
22109,2004,100.34187186710612
22111,2004,0
22113,2004,16.632927322781285
22115,2004,0
22117,2004,102.00849426723303
22119,2004,0
22121,2004,25.28435629053668
22123,2004,0
22125,2004,0
22127,2004,0
23001,2004,0
23003,2004,0
23005,2004,0
23007,2004,0
23009,2004,0
23011,2004,0
23013,2004,0
23015,2004,0
23017,2004,0
23019,2004,0
23021,2004,0
23023,2004,0
23025,2004,0
23027,2004,0
23029,2004,0
23031,2004,0
24001,2004,0
24003,2004,0
24005,2004,0
24009,2004,0
24011,2004,0
24013,2004,0
24015,2004,0
24017,2004,0
24019,2004,0
24021,2004,0
24023,2004,0
24025,2004,0
24027,2004,0
24029,2004,0
24031,2004,0
24033,2004,0
24035,2004,0
24037,2004,0
24039,2004,0
24041,2004,0
24043,2004,0
24045,2004,6.73788954660786
24047,2004,12.91356725927401
24510,2004,0
25001,2004,0
25003,2004,0
25005,2004,1.3036036274367269
25007,2004,2.5295451937633286
25009,2004,0
25011,2004,0
25013,2004,0
25015,2004,0
25017,2004,0
25019,2004,0
25021,2004,0
25023,2004,0
25025,2004,0
25027,2004,0
26001,2004,0
26003,2004,0
26005,2004,0
26007,2004,0
26009,2004,0
26011,2004,0
26013,2004,0
26015,2004,0
26017,2004,0
26019,2004,0
26021,2004,0
26023,2004,0
26025,2004,0
26027,2004,0
26029,2004,0
26031,2004,0
26033,2004,0
26035,2004,0
26037,2004,0
26039,2004,0
26041,2004,0
26043,2004,0
26045,2004,0
26047,2004,0
26049,2004,0
26051,2004,0
26053,2004,0
26055,2004,0
26057,2004,0
26059,2004,0
26061,2004,0
26063,2004,0
26065,2004,0
26067,2004,0
26069,2004,0
26071,2004,0
26073,2004,0
26075,2004,0
26077,2004,0
26079,2004,0
26081,2004,0
26083,2004,0
26085,2004,0
26087,2004,0
26089,2004,0
26091,2004,0
26093,2004,0
26095,2004,0
26097,2004,0
26099,2004,0
26101,2004,0
26103,2004,0
26105,2004,0
26107,2004,0
26109,2004,0
26111,2004,0
26113,2004,0
26115,2004,0
26117,2004,0
26119,2004,0
26121,2004,0
26123,2004,0
26125,2004,0
26127,2004,0
26129,2004,0
26131,2004,0
26133,2004,0
26135,2004,0
26137,2004,0
26139,2004,0
26141,2004,0
26143,2004,0
26145,2004,0
26147,2004,0
26149,2004,0
26151,2004,0
26153,2004,0
26155,2004,0
26157,2004,0
26159,2004,0
26161,2004,0
26163,2004,0
26165,2004,0
27001,2004,0
27003,2004,0
27005,2004,0
27007,2004,0
27009,2004,0
27011,2004,0
27013,2004,0
27015,2004,0
27017,2004,0
27019,2004,0
27021,2004,0
27023,2004,0
27025,2004,0
27027,2004,0
27029,2004,0
27031,2004,0
27033,2004,0
27035,2004,0
27037,2004,0
27039,2004,0
27041,2004,0
27043,2004,0
27045,2004,0
27047,2004,0
27049,2004,0
27051,2004,0
27053,2004,0
27055,2004,0
27057,2004,0
27059,2004,0
27061,2004,0
27063,2004,0
27065,2004,0
27067,2004,0
27069,2004,0
27071,2004,0
27073,2004,0
27075,2004,0
27077,2004,0
27079,2004,0
27081,2004,0
27083,2004,0
27085,2004,0
27087,2004,0
27089,2004,0
27091,2004,0
27093,2004,0
27095,2004,0
27097,2004,0
27099,2004,0
27101,2004,0
27103,2004,0
27105,2004,0
27107,2004,0
27109,2004,0
27111,2004,0
27113,2004,0
27115,2004,0
27117,2004,0
27119,2004,0
27121,2004,0
27123,2004,0
27125,2004,0
27127,2004,0
27129,2004,0
27131,2004,0
27133,2004,0
27135,2004,0
27137,2004,0
27139,2004,0
27141,2004,0
27143,2004,0
27145,2004,0
27147,2004,0
27149,2004,0
27151,2004,0
27153,2004,0
27155,2004,0
27157,2004,0
27159,2004,0
27161,2004,0
27163,2004,0
27165,2004,0
27167,2004,0
27169,2004,0
27171,2004,0
27173,2004,0
28001,2004,0
28003,2004,0
28005,2004,40.854691862210245
28007,2004,13.894129730447421
28009,2004,0
28011,2004,0
28013,2004,0
28015,2004,0
28017,2004,0
28019,2004,11.964141915458269
28021,2004,0
28023,2004,95.80035659108859
28025,2004,4.249591456544296
28027,2004,0
28029,2004,31.7708152534875
28031,2004,101.38462459775344
28033,2004,0
28035,2004,115.07621797274675
28037,2004,13.398337790348865
28039,2004,182.42202311699538
28041,2004,139.50961322858603
28043,2004,0
28045,2004,159.6468780969297
28047,2004,176.10036385435313
28049,2004,3.269287626657237
28051,2004,0
28053,2004,0
28055,2004,0
28057,2004,0
28059,2004,188.9446493801546
28061,2004,79.21840026887551
28063,2004,0.06293836764312927
28065,2004,96.4559541522658
28067,2004,106.63435460018702
28069,2004,61.60751180938116
28071,2004,0
28073,2004,106.76357992250749
28075,2004,70.28188748336318
28077,2004,87.27605445970771
28079,2004,36.91284136092641
28081,2004,0
28083,2004,0
28085,2004,51.0701164236318
28087,2004,29.936621930090002
28089,2004,14.186092095156738
28091,2004,102.00000002472258
28093,2004,0
28095,2004,0
28097,2004,0
28099,2004,50.11254895422681
28101,2004,68.0000000132937
28103,2004,34.011520626324966
28105,2004,23.976028638700317
28107,2004,0
28109,2004,135.83262576910764
28111,2004,132.31607452392754
28113,2004,81.84461076585518
28115,2004,0
28117,2004,0
28119,2004,0
28121,2004,57.13164474100896
28123,2004,64.73157577267132
28125,2004,0
28127,2004,68.00000000050139
28129,2004,71.59389272317239
28131,2004,157.0465462066917
28133,2004,0
28135,2004,0
28137,2004,0
28139,2004,0
28141,2004,0
28143,2004,0
28145,2004,0
28147,2004,102.0000000460212
28149,2004,0
28151,2004,0
28153,2004,125.9115173178115
28155,2004,0
28157,2004,0.3112337777124133
28159,2004,34.00000000624231
28161,2004,0
28163,2004,0
29001,2004,0
29003,2004,0
29005,2004,0
29007,2004,0
29009,2004,0
29011,2004,0
29013,2004,0
29015,2004,0
29017,2004,0
29019,2004,0
29021,2004,0
29023,2004,0
29025,2004,0
29027,2004,0
29029,2004,0
29031,2004,0
29033,2004,0
29035,2004,0
29037,2004,0
29039,2004,0
29041,2004,0
29043,2004,0
29045,2004,0
29047,2004,0
29049,2004,0
29051,2004,0
29053,2004,0
29055,2004,0
29057,2004,0
29059,2004,0
29061,2004,0
29063,2004,0
29065,2004,0
29067,2004,0
29069,2004,0
29071,2004,0
29073,2004,0
29075,2004,0
29077,2004,0
29079,2004,0
29081,2004,0
29083,2004,0
29085,2004,0
29087,2004,0
29089,2004,0
29091,2004,0
29093,2004,0
29095,2004,0
29097,2004,0
29099,2004,0
29101,2004,0
29103,2004,0
29105,2004,0
29107,2004,0
29109,2004,0
29111,2004,0
29113,2004,0
29115,2004,0
29117,2004,0
29119,2004,0
29121,2004,0
29123,2004,0
29125,2004,0
29127,2004,0
29129,2004,0
29131,2004,0
29133,2004,0
29135,2004,0
29137,2004,0
29139,2004,0
29141,2004,0
29143,2004,0
29145,2004,0
29147,2004,0
29149,2004,0
29151,2004,0
29153,2004,0
29155,2004,0
29157,2004,0
