FIPS,county_state,year,pop
45001,"Abbeville County, South Carolina",2000,26229
45001,"Abbeville County, South Carolina",2001,26330
45001,"Abbeville County, South Carolina",2002,26311
45001,"Abbeville County, South Carolina",2003,26306
45001,"Abbeville County, South Carolina",2004,26235
45001,"Abbeville County, South Carolina",2005,25995
45001,"Abbeville County, South Carolina",2006,25821
45001,"Abbeville County, South Carolina",2007,25745
45001,"Abbeville County, South Carolina",2008,25699
45001,"Abbeville County, South Carolina",2009,25614
45001,"Abbeville County, South Carolina",2010,25328
45001,"Abbeville County, South Carolina",2011,25081
45001,"Abbeville County, South Carolina",2012,25019
45001,"Abbeville County, South Carolina",2013,24899
45001,"Abbeville County, South Carolina",2014,24795
22001,"Acadia Parish, Louisiana",2000,58795
22001,"Acadia Parish, Louisiana",2001,58844
22001,"Acadia Parish, Louisiana",2002,59065
22001,"Acadia Parish, Louisiana",2003,59194
22001,"Acadia Parish, Louisiana",2004,59223
22001,"Acadia Parish, Louisiana",2005,59524
22001,"Acadia Parish, Louisiana",2006,60522
22001,"Acadia Parish, Louisiana",2007,60762
22001,"Acadia Parish, Louisiana",2008,61115
22001,"Acadia Parish, Louisiana",2009,61451
22001,"Acadia Parish, Louisiana",2010,61877
22001,"Acadia Parish, Louisiana",2011,61865
22001,"Acadia Parish, Louisiana",2012,61997
22001,"Acadia Parish, Louisiana",2013,62299
22001,"Acadia Parish, Louisiana",2014,62667
51001,"Accomack County, Virginia",2000,38215
51001,"Accomack County, Virginia",2001,37742
51001,"Accomack County, Virginia",2002,37308
51001,"Accomack County, Virginia",2003,36742
51001,"Accomack County, Virginia",2004,36310
51001,"Accomack County, Virginia",2005,35835
51001,"Accomack County, Virginia",2006,35192
51001,"Accomack County, Virginia",2007,34553
51001,"Accomack County, Virginia",2008,33970
51001,"Accomack County, Virginia",2009,33415
51001,"Accomack County, Virginia",2010,33148
51001,"Accomack County, Virginia",2011,33225
51001,"Accomack County, Virginia",2012,33268
51001,"Accomack County, Virginia",2013,32969
51001,"Accomack County, Virginia",2014,32971
16001,"Ada County, Idaho",2000,303328
16001,"Ada County, Idaho",2001,313896
16001,"Ada County, Idaho",2002,321616
16001,"Ada County, Idaho",2003,327393
16001,"Ada County, Idaho",2004,334926
16001,"Ada County, Idaho",2005,348755
16001,"Ada County, Idaho",2006,363498
16001,"Ada County, Idaho",2007,375368
16001,"Ada County, Idaho",2008,382618
16001,"Ada County, Idaho",2009,388577
16001,"Ada County, Idaho",2010,393354
16001,"Ada County, Idaho",2011,401262
16001,"Ada County, Idaho",2012,408862
16001,"Ada County, Idaho",2013,415951
16001,"Ada County, Idaho",2014,425471
19001,"Adair County, Iowa",2000,8223
19001,"Adair County, Iowa",2001,8132
19001,"Adair County, Iowa",2002,8059
19001,"Adair County, Iowa",2003,8050
19001,"Adair County, Iowa",2004,8019
19001,"Adair County, Iowa",2005,7932
19001,"Adair County, Iowa",2006,7924
19001,"Adair County, Iowa",2007,7871
19001,"Adair County, Iowa",2008,7747
19001,"Adair County, Iowa",2009,7676
19001,"Adair County, Iowa",2010,7679
19001,"Adair County, Iowa",2011,7546
19001,"Adair County, Iowa",2012,7468
19001,"Adair County, Iowa",2013,7387
19001,"Adair County, Iowa",2014,7368
21001,"Adair County, Kentucky",2000,17327
21001,"Adair County, Kentucky",2001,17584
21001,"Adair County, Kentucky",2002,17762
21001,"Adair County, Kentucky",2003,17924
21001,"Adair County, Kentucky",2004,17994
21001,"Adair County, Kentucky",2005,18128
21001,"Adair County, Kentucky",2006,18335
21001,"Adair County, Kentucky",2007,18493
21001,"Adair County, Kentucky",2008,18541
21001,"Adair County, Kentucky",2009,18729
21001,"Adair County, Kentucky",2010,18757
21001,"Adair County, Kentucky",2011,18987
21001,"Adair County, Kentucky",2012,18934
21001,"Adair County, Kentucky",2013,19124
21001,"Adair County, Kentucky",2014,19262
29001,"Adair County, Missouri",2000,24956
29001,"Adair County, Missouri",2001,24967
29001,"Adair County, Missouri",2002,25072
29001,"Adair County, Missouri",2003,24958
29001,"Adair County, Missouri",2004,24988
29001,"Adair County, Missouri",2005,24849
29001,"Adair County, Missouri",2006,25007
29001,"Adair County, Missouri",2007,24983
29001,"Adair County, Missouri",2008,25399
29001,"Adair County, Missouri",2009,25577
29001,"Adair County, Missouri",2010,25625
29001,"Adair County, Missouri",2011,25657
29001,"Adair County, Missouri",2012,25675
29001,"Adair County, Missouri",2013,25703
29001,"Adair County, Missouri",2014,25521
40001,"Adair County, Oklahoma",2000,21031
40001,"Adair County, Oklahoma",2001,21101
40001,"Adair County, Oklahoma",2002,21271
40001,"Adair County, Oklahoma",2003,21445
40001,"Adair County, Oklahoma",2004,21589
40001,"Adair County, Oklahoma",2005,21887
40001,"Adair County, Oklahoma",2006,22215
40001,"Adair County, Oklahoma",2007,22345
40001,"Adair County, Oklahoma",2008,22346
40001,"Adair County, Oklahoma",2009,22477
40001,"Adair County, Oklahoma",2010,22756
40001,"Adair County, Oklahoma",2011,22667
40001,"Adair County, Oklahoma",2012,22468
40001,"Adair County, Oklahoma",2013,22460
40001,"Adair County, Oklahoma",2014,22384
08001,"Adams County, Colorado",2000,350888
08001,"Adams County, Colorado",2001,359816
08001,"Adams County, Colorado",2002,370753
08001,"Adams County, Colorado",2003,377464
08001,"Adams County, Colorado",2004,384809
08001,"Adams County, Colorado",2005,395146
08001,"Adams County, Colorado",2006,406575
08001,"Adams County, Colorado",2007,415746
08001,"Adams County, Colorado",2008,424913
08001,"Adams County, Colorado",2009,435700
08001,"Adams County, Colorado",2010,443691
08001,"Adams County, Colorado",2011,452201
08001,"Adams County, Colorado",2012,460558
08001,"Adams County, Colorado",2013,469978
08001,"Adams County, Colorado",2014,479946
16003,"Adams County, Idaho",2000,3477
16003,"Adams County, Idaho",2001,3495
16003,"Adams County, Idaho",2002,3559
16003,"Adams County, Idaho",2003,3624
16003,"Adams County, Idaho",2004,3693
16003,"Adams County, Idaho",2005,3817
16003,"Adams County, Idaho",2006,3788
16003,"Adams County, Idaho",2007,3949
16003,"Adams County, Idaho",2008,4021
16003,"Adams County, Idaho",2009,4000
16003,"Adams County, Idaho",2010,3962
16003,"Adams County, Idaho",2011,3981
16003,"Adams County, Idaho",2012,3908
16003,"Adams County, Idaho",2013,3863
16003,"Adams County, Idaho",2014,3883
17001,"Adams County, Illinois",2000,68183
17001,"Adams County, Illinois",2001,68014
17001,"Adams County, Illinois",2002,67776
17001,"Adams County, Illinois",2003,67267
17001,"Adams County, Illinois",2004,66818
17001,"Adams County, Illinois",2005,66920
17001,"Adams County, Illinois",2006,67106
17001,"Adams County, Illinois",2007,66943
17001,"Adams County, Illinois",2008,66943
17001,"Adams County, Illinois",2009,67039
17001,"Adams County, Illinois",2010,67160
17001,"Adams County, Illinois",2011,67211
17001,"Adams County, Illinois",2012,67139
17001,"Adams County, Illinois",2013,66999
17001,"Adams County, Illinois",2014,66966
18001,"Adams County, Indiana",2000,33597
18001,"Adams County, Indiana",2001,33556
18001,"Adams County, Indiana",2002,33523
18001,"Adams County, Indiana",2003,33746
18001,"Adams County, Indiana",2004,33822
18001,"Adams County, Indiana",2005,33867
18001,"Adams County, Indiana",2006,33887
18001,"Adams County, Indiana",2007,33962
18001,"Adams County, Indiana",2008,34214
18001,"Adams County, Indiana",2009,34351
18001,"Adams County, Indiana",2010,34444
18001,"Adams County, Indiana",2011,34368
18001,"Adams County, Indiana",2012,34400
18001,"Adams County, Indiana",2013,34644
18001,"Adams County, Indiana",2014,34758
19003,"Adams County, Iowa",2000,4476
19003,"Adams County, Iowa",2001,4402
19003,"Adams County, Iowa",2002,4370
19003,"Adams County, Iowa",2003,4365
19003,"Adams County, Iowa",2004,4307
19003,"Adams County, Iowa",2005,4226
19003,"Adams County, Iowa",2006,4224
19003,"Adams County, Iowa",2007,4195
19003,"Adams County, Iowa",2008,4151
19003,"Adams County, Iowa",2009,4047
19003,"Adams County, Iowa",2010,4023
19003,"Adams County, Iowa",2011,3994
19003,"Adams County, Iowa",2012,3910
19003,"Adams County, Iowa",2013,3891
19003,"Adams County, Iowa",2014,3877
28001,"Adams County, Mississippi",2000,34246
28001,"Adams County, Mississippi",2001,33945
28001,"Adams County, Mississippi",2002,33730
28001,"Adams County, Mississippi",2003,33482
28001,"Adams County, Mississippi",2004,32785
28001,"Adams County, Mississippi",2005,32674
28001,"Adams County, Mississippi",2006,33220
28001,"Adams County, Mississippi",2007,32889
28001,"Adams County, Mississippi",2008,32629
28001,"Adams County, Mississippi",2009,32305
28001,"Adams County, Mississippi",2010,32574
28001,"Adams County, Mississippi",2011,32435
28001,"Adams County, Mississippi",2012,32191
28001,"Adams County, Mississippi",2013,32111
28001,"Adams County, Mississippi",2014,32072
31001,"Adams County, Nebraska",2000,31154
31001,"Adams County, Nebraska",2001,31021
31001,"Adams County, Nebraska",2002,30716
31001,"Adams County, Nebraska",2003,30693
31001,"Adams County, Nebraska",2004,30740
31001,"Adams County, Nebraska",2005,30987
31001,"Adams County, Nebraska",2006,30910
31001,"Adams County, Nebraska",2007,30892
31001,"Adams County, Nebraska",2008,31160
31001,"Adams County, Nebraska",2009,31280
31001,"Adams County, Nebraska",2010,31328
31001,"Adams County, Nebraska",2011,31204
31001,"Adams County, Nebraska",2012,31345
31001,"Adams County, Nebraska",2013,31527
31001,"Adams County, Nebraska",2014,31389
38001,"Adams County, North Dakota",2000,2578
38001,"Adams County, North Dakota",2001,2542
38001,"Adams County, North Dakota",2002,2509
38001,"Adams County, North Dakota",2003,2469
38001,"Adams County, North Dakota",2004,2436
38001,"Adams County, North Dakota",2005,2405
38001,"Adams County, North Dakota",2006,2366
38001,"Adams County, North Dakota",2007,2362
38001,"Adams County, North Dakota",2008,2343
38001,"Adams County, North Dakota",2009,2325
38001,"Adams County, North Dakota",2010,2350
38001,"Adams County, North Dakota",2011,2311
38001,"Adams County, North Dakota",2012,2333
38001,"Adams County, North Dakota",2013,2391
38001,"Adams County, North Dakota",2014,2388
39001,"Adams County, Ohio",2000,27317
39001,"Adams County, Ohio",2001,27522
39001,"Adams County, Ohio",2002,27817
39001,"Adams County, Ohio",2003,28111
39001,"Adams County, Ohio",2004,28328
39001,"Adams County, Ohio",2005,28522
39001,"Adams County, Ohio",2006,28615
39001,"Adams County, Ohio",2007,28538
39001,"Adams County, Ohio",2008,28686
39001,"Adams County, Ohio",2009,28500
39001,"Adams County, Ohio",2010,28537
39001,"Adams County, Ohio",2011,28459
39001,"Adams County, Ohio",2012,28293
39001,"Adams County, Ohio",2013,28089
39001,"Adams County, Ohio",2014,28066
42001,"Adams County, Pennsylvania",2000,91457
42001,"Adams County, Pennsylvania",2001,92591
42001,"Adams County, Pennsylvania",2002,93934
42001,"Adams County, Pennsylvania",2003,95503
42001,"Adams County, Pennsylvania",2004,97300
42001,"Adams County, Pennsylvania",2005,98606
42001,"Adams County, Pennsylvania",2006,99899
42001,"Adams County, Pennsylvania",2007,100502
42001,"Adams County, Pennsylvania",2008,101056
42001,"Adams County, Pennsylvania",2009,101252
42001,"Adams County, Pennsylvania",2010,101479
42001,"Adams County, Pennsylvania",2011,101474
42001,"Adams County, Pennsylvania",2012,101254
42001,"Adams County, Pennsylvania",2013,101137
42001,"Adams County, Pennsylvania",2014,101353
53001,"Adams County, Washington",2000,16458
53001,"Adams County, Washington",2001,16259
53001,"Adams County, Washington",2002,16445
53001,"Adams County, Washington",2003,16612
53001,"Adams County, Washington",2004,16664
53001,"Adams County, Washington",2005,16918
53001,"Adams County, Washington",2006,16997
53001,"Adams County, Washington",2007,17413
53001,"Adams County, Washington",2008,17782
53001,"Adams County, Washington",2009,18405
53001,"Adams County, Washington",2010,18790
53001,"Adams County, Washington",2011,18877
53001,"Adams County, Washington",2012,18944
53001,"Adams County, Washington",2013,19098
53001,"Adams County, Washington",2014,19177
55001,"Adams County, Wisconsin",2000,20047
55001,"Adams County, Wisconsin",2001,20337
55001,"Adams County, Wisconsin",2002,20578
55001,"Adams County, Wisconsin",2003,20644
55001,"Adams County, Wisconsin",2004,20774
55001,"Adams County, Wisconsin",2005,21211
55001,"Adams County, Wisconsin",2006,21185
55001,"Adams County, Wisconsin",2007,21156
55001,"Adams County, Wisconsin",2008,21101
55001,"Adams County, Wisconsin",2009,20930
55001,"Adams County, Wisconsin",2010,20878
55001,"Adams County, Wisconsin",2011,20769
55001,"Adams County, Wisconsin",2012,20417
55001,"Adams County, Wisconsin",2013,20413
55001,"Adams County, Wisconsin",2014,20125
50001,"Addison County, Vermont",2000,36002
50001,"Addison County, Vermont",2001,36055
50001,"Addison County, Vermont",2002,36320
50001,"Addison County, Vermont",2003,36432
50001,"Addison County, Vermont",2004,36580
50001,"Addison County, Vermont",2005,36611
50001,"Addison County, Vermont",2006,36758
50001,"Addison County, Vermont",2007,36886
50001,"Addison County, Vermont",2008,36905
50001,"Addison County, Vermont",2009,36847
50001,"Addison County, Vermont",2010,36823
50001,"Addison County, Vermont",2011,36969
50001,"Addison County, Vermont",2012,36899
50001,"Addison County, Vermont",2013,36934
50001,"Addison County, Vermont",2014,36932
45003,"Aiken County, South Carolina",2000,142742
45003,"Aiken County, South Carolina",2001,143676
45003,"Aiken County, South Carolina",2002,145226
45003,"Aiken County, South Carolina",2003,146793
45003,"Aiken County, South Carolina",2004,148746
45003,"Aiken County, South Carolina",2005,150152
45003,"Aiken County, South Carolina",2006,152577
45003,"Aiken County, South Carolina",2007,154814
45003,"Aiken County, South Carolina",2008,156896
45003,"Aiken County, South Carolina",2009,158499
45003,"Aiken County, South Carolina",2010,160552
45003,"Aiken County, South Carolina",2011,161594
45003,"Aiken County, South Carolina",2012,162922
45003,"Aiken County, South Carolina",2013,163702
45003,"Aiken County, South Carolina",2014,164215
27001,"Aitkin County, Minnesota",2000,15282
27001,"Aitkin County, Minnesota",2001,15334
27001,"Aitkin County, Minnesota",2002,15616
27001,"Aitkin County, Minnesota",2003,15795
27001,"Aitkin County, Minnesota",2004,16028
27001,"Aitkin County, Minnesota",2005,16162
27001,"Aitkin County, Minnesota",2006,16357
27001,"Aitkin County, Minnesota",2007,16481
27001,"Aitkin County, Minnesota",2008,16422
27001,"Aitkin County, Minnesota",2009,16168
27001,"Aitkin County, Minnesota",2010,16210
27001,"Aitkin County, Minnesota",2011,16170
27001,"Aitkin County, Minnesota",2012,16036
27001,"Aitkin County, Minnesota",2013,15872
27001,"Aitkin County, Minnesota",2014,15849
12001,"Alachua County, Florida",2000,218611
12001,"Alachua County, Florida",2001,221718
12001,"Alachua County, Florida",2002,224614
12001,"Alachua County, Florida",2003,227022
12001,"Alachua County, Florida",2004,229867
12001,"Alachua County, Florida",2005,233756
12001,"Alachua County, Florida",2006,239506
12001,"Alachua County, Florida",2007,242685
12001,"Alachua County, Florida",2008,244888
12001,"Alachua County, Florida",2009,246657
12001,"Alachua County, Florida",2010,247614
12001,"Alachua County, Florida",2011,249834
12001,"Alachua County, Florida",2012,251520
12001,"Alachua County, Florida",2013,252475
12001,"Alachua County, Florida",2014,255456
37001,"Alamance County, North Carolina",2000,131423
37001,"Alamance County, North Carolina",2001,133346
37001,"Alamance County, North Carolina",2002,135239
37001,"Alamance County, North Carolina",2003,136009
37001,"Alamance County, North Carolina",2004,137619
37001,"Alamance County, North Carolina",2005,139311
37001,"Alamance County, North Carolina",2006,141462
37001,"Alamance County, North Carolina",2007,144712
37001,"Alamance County, North Carolina",2008,147704
37001,"Alamance County, North Carolina",2009,149954
37001,"Alamance County, North Carolina",2010,151431
37001,"Alamance County, North Carolina",2011,152692
37001,"Alamance County, North Carolina",2012,153265
37001,"Alamance County, North Carolina",2013,154162
37001,"Alamance County, North Carolina",2014,155384
06001,"Alameda County, California",2000,1449840
06001,"Alameda County, California",2001,1469484
06001,"Alameda County, California",2002,1462106
06001,"Alameda County, California",2003,1454163
06001,"Alameda County, California",2004,1445721
06001,"Alameda County, California",2005,1441545
06001,"Alameda County, California",2006,1444484
06001,"Alameda County, California",2007,1455715
06001,"Alameda County, California",2008,1477208
06001,"Alameda County, California",2009,1498539
06001,"Alameda County, California",2010,1512986
06001,"Alameda County, California",2011,1530915
06001,"Alameda County, California",2012,1553764
06001,"Alameda County, California",2013,1579593
06001,"Alameda County, California",2014,1607792
08003,"Alamosa County, Colorado",2000,14954
08003,"Alamosa County, Colorado",2001,14956
08003,"Alamosa County, Colorado",2002,15114
08003,"Alamosa County, Colorado",2003,15067
08003,"Alamosa County, Colorado",2004,15217
08003,"Alamosa County, Colorado",2005,15236
08003,"Alamosa County, Colorado",2006,15196
08003,"Alamosa County, Colorado",2007,15180
08003,"Alamosa County, Colorado",2008,15300
08003,"Alamosa County, Colorado",2009,15289
08003,"Alamosa County, Colorado",2010,15515
08003,"Alamosa County, Colorado",2011,15709
08003,"Alamosa County, Colorado",2012,15680
08003,"Alamosa County, Colorado",2013,15787
08003,"Alamosa County, Colorado",2014,15803
36001,"Albany County, New York",2000,295106
36001,"Albany County, New York",2001,296232
36001,"Albany County, New York",2002,298283
36001,"Albany County, New York",2003,301085
36001,"Albany County, New York",2004,302173
36001,"Albany County, New York",2005,302791
36001,"Albany County, New York",2006,303997
36001,"Albany County, New York",2007,303858
36001,"Albany County, New York",2008,303739
36001,"Albany County, New York",2009,304733
36001,"Albany County, New York",2010,304086
36001,"Albany County, New York",2011,304596
36001,"Albany County, New York",2012,305723
36001,"Albany County, New York",2013,306589
36001,"Albany County, New York",2014,307151
56001,"Albany County, Wyoming",2000,31966
56001,"Albany County, Wyoming",2001,32419
56001,"Albany County, Wyoming",2002,32675
56001,"Albany County, Wyoming",2003,33098
56001,"Albany County, Wyoming",2004,33580
56001,"Albany County, Wyoming",2005,33631
56001,"Albany County, Wyoming",2006,33950
56001,"Albany County, Wyoming",2007,33858
56001,"Albany County, Wyoming",2008,34643
56001,"Albany County, Wyoming",2009,35743
56001,"Albany County, Wyoming",2010,36469
56001,"Albany County, Wyoming",2011,36851
56001,"Albany County, Wyoming",2012,37359
56001,"Albany County, Wyoming",2013,37556
56001,"Albany County, Wyoming",2014,37620
51003,"Albemarle County, Virginia",2000,83532
51003,"Albemarle County, Virginia",2001,85002
51003,"Albemarle County, Virginia",2002,86150
51003,"Albemarle County, Virginia",2003,87620
51003,"Albemarle County, Virginia",2004,89491
51003,"Albemarle County, Virginia",2005,91676
51003,"Albemarle County, Virginia",2006,93852
51003,"Albemarle County, Virginia",2007,95009
51003,"Albemarle County, Virginia",2008,97081
51003,"Albemarle County, Virginia",2009,98071
51003,"Albemarle County, Virginia",2010,99204
51003,"Albemarle County, Virginia",2011,100213
51003,"Albemarle County, Virginia",2012,101464
51003,"Albemarle County, Virginia",2013,102270
51003,"Albemarle County, Virginia",2014,103732
26001,"Alcona County, Michigan",2000,11677
26001,"Alcona County, Michigan",2001,11665
26001,"Alcona County, Michigan",2002,11480
26001,"Alcona County, Michigan",2003,11495
26001,"Alcona County, Michigan",2004,11459
26001,"Alcona County, Michigan",2005,11517
26001,"Alcona County, Michigan",2006,11503
26001,"Alcona County, Michigan",2007,11412
26001,"Alcona County, Michigan",2008,11286
26001,"Alcona County, Michigan",2009,11106
26001,"Alcona County, Michigan",2010,10879
26001,"Alcona County, Michigan",2011,10743
26001,"Alcona County, Michigan",2012,10573
26001,"Alcona County, Michigan",2013,10554
26001,"Alcona County, Michigan",2014,10450
28003,"Alcorn County, Mississippi",2000,34600
28003,"Alcorn County, Mississippi",2001,34746
28003,"Alcorn County, Mississippi",2002,34946
28003,"Alcorn County, Mississippi",2003,35045
28003,"Alcorn County, Mississippi",2004,35448
28003,"Alcorn County, Mississippi",2005,35688
28003,"Alcorn County, Mississippi",2006,36183
28003,"Alcorn County, Mississippi",2007,36608
28003,"Alcorn County, Mississippi",2008,36793
28003,"Alcorn County, Mississippi",2009,36868
28003,"Alcorn County, Mississippi",2010,37107
28003,"Alcorn County, Mississippi",2011,37282
28003,"Alcorn County, Mississippi",2012,37209
28003,"Alcorn County, Mississippi",2013,37281
28003,"Alcorn County, Mississippi",2014,37254
02013,"Aleutians East Borough, Alaska",2000,2693
02013,"Aleutians East Borough, Alaska",2001,2590
02013,"Aleutians East Borough, Alaska",2002,2734
02013,"Aleutians East Borough, Alaska",2003,2732
02013,"Aleutians East Borough, Alaska",2004,2727
02013,"Aleutians East Borough, Alaska",2005,2787
02013,"Aleutians East Borough, Alaska",2006,2794
02013,"Aleutians East Borough, Alaska",2007,3012
02013,"Aleutians East Borough, Alaska",2008,2991
02013,"Aleutians East Borough, Alaska",2009,3084
02013,"Aleutians East Borough, Alaska",2010,3166
02013,"Aleutians East Borough, Alaska",2011,3259
02013,"Aleutians East Borough, Alaska",2012,3294
02013,"Aleutians East Borough, Alaska",2013,3343
02013,"Aleutians East Borough, Alaska",2014,3346
02016,"Aleutians West Census Area, Alaska",2000,5470
02016,"Aleutians West Census Area, Alaska",2001,5501
02016,"Aleutians West Census Area, Alaska",2002,5472
02016,"Aleutians West Census Area, Alaska",2003,5709
02016,"Aleutians West Census Area, Alaska",2004,5798
02016,"Aleutians West Census Area, Alaska",2005,5913
02016,"Aleutians West Census Area, Alaska",2006,5658
02016,"Aleutians West Census Area, Alaska",2007,5466
02016,"Aleutians West Census Area, Alaska",2008,5393
02016,"Aleutians West Census Area, Alaska",2009,5537
02016,"Aleutians West Census Area, Alaska",2010,5559
02016,"Aleutians West Census Area, Alaska",2011,5582
02016,"Aleutians West Census Area, Alaska",2012,5676
02016,"Aleutians West Census Area, Alaska",2013,5777
02016,"Aleutians West Census Area, Alaska",2014,5822
17003,"Alexander County, Illinois",2000,9684
17003,"Alexander County, Illinois",2001,9592
17003,"Alexander County, Illinois",2002,9592
17003,"Alexander County, Illinois",2003,9254
17003,"Alexander County, Illinois",2004,9186
17003,"Alexander County, Illinois",2005,8914
17003,"Alexander County, Illinois",2006,8730
17003,"Alexander County, Illinois",2007,8552
17003,"Alexander County, Illinois",2008,8461
17003,"Alexander County, Illinois",2009,8295
17003,"Alexander County, Illinois",2010,8206
17003,"Alexander County, Illinois",2011,7992
17003,"Alexander County, Illinois",2012,7717
17003,"Alexander County, Illinois",2013,7238
17003,"Alexander County, Illinois",2014,7083
37003,"Alexander County, North Carolina",2000,33774
37003,"Alexander County, North Carolina",2001,34187
37003,"Alexander County, North Carolina",2002,34665
37003,"Alexander County, North Carolina",2003,34998
37003,"Alexander County, North Carolina",2004,35343
37003,"Alexander County, North Carolina",2005,35786
37003,"Alexander County, North Carolina",2006,36243
37003,"Alexander County, North Carolina",2007,36609
37003,"Alexander County, North Carolina",2008,36840
37003,"Alexander County, North Carolina",2009,37053
37003,"Alexander County, North Carolina",2010,37233
37003,"Alexander County, North Carolina",2011,37026
37003,"Alexander County, North Carolina",2012,36922
37003,"Alexander County, North Carolina",2013,37012
37003,"Alexander County, North Carolina",2014,36987
51510,"Alexandria city, Virginia",2000,129225
51510,"Alexandria city, Virginia",2001,130932
51510,"Alexandria city, Virginia",2002,130614
51510,"Alexandria city, Virginia",2003,129421
51510,"Alexandria city, Virginia",2004,128765
51510,"Alexandria city, Virginia",2005,128181
51510,"Alexandria city, Virginia",2006,127676
51510,"Alexandria city, Virginia",2007,129175
51510,"Alexandria city, Virginia",2008,132949
51510,"Alexandria city, Virginia",2009,137523
51510,"Alexandria city, Virginia",2010,140729
51510,"Alexandria city, Virginia",2011,144219
51510,"Alexandria city, Virginia",2012,147291
51510,"Alexandria city, Virginia",2013,149637
51510,"Alexandria city, Virginia",2014,151375
40003,"Alfalfa County, Oklahoma",2000,6080
40003,"Alfalfa County, Oklahoma",2001,5933
40003,"Alfalfa County, Oklahoma",2002,5894
40003,"Alfalfa County, Oklahoma",2003,5827
40003,"Alfalfa County, Oklahoma",2004,5785
40003,"Alfalfa County, Oklahoma",2005,5706
40003,"Alfalfa County, Oklahoma",2006,5639
40003,"Alfalfa County, Oklahoma",2007,5618
40003,"Alfalfa County, Oklahoma",2008,5618
40003,"Alfalfa County, Oklahoma",2009,5585
40003,"Alfalfa County, Oklahoma",2010,5629
40003,"Alfalfa County, Oklahoma",2011,5648
40003,"Alfalfa County, Oklahoma",2012,5668
40003,"Alfalfa County, Oklahoma",2013,5856
40003,"Alfalfa County, Oklahoma",2014,5821
26003,"Alger County, Michigan",2000,9819
26003,"Alger County, Michigan",2001,9815
26003,"Alger County, Michigan",2002,9764
26003,"Alger County, Michigan",2003,9694
26003,"Alger County, Michigan",2004,9680
26003,"Alger County, Michigan",2005,9633
26003,"Alger County, Michigan",2006,9687
26003,"Alger County, Michigan",2007,9779
26003,"Alger County, Michigan",2008,9647
26003,"Alger County, Michigan",2009,9334
26003,"Alger County, Michigan",2010,9580
26003,"Alger County, Michigan",2011,9516
26003,"Alger County, Michigan",2012,9451
26003,"Alger County, Michigan",2013,9438
26003,"Alger County, Michigan",2014,9362
19005,"Allamakee County, Iowa",2000,14674
19005,"Allamakee County, Iowa",2001,14333
19005,"Allamakee County, Iowa",2002,14289
19005,"Allamakee County, Iowa",2003,14345
19005,"Allamakee County, Iowa",2004,14324
19005,"Allamakee County, Iowa",2005,14371
19005,"Allamakee County, Iowa",2006,14378
19005,"Allamakee County, Iowa",2007,14335
19005,"Allamakee County, Iowa",2008,14325
19005,"Allamakee County, Iowa",2009,14263
19005,"Allamakee County, Iowa",2010,14378
19005,"Allamakee County, Iowa",2011,14222
19005,"Allamakee County, Iowa",2012,14149
19005,"Allamakee County, Iowa",2013,14071
19005,"Allamakee County, Iowa",2014,14062
26005,"Allegan County, Michigan",2000,105904
26005,"Allegan County, Michigan",2001,107367
26005,"Allegan County, Michigan",2002,108203
26005,"Allegan County, Michigan",2003,109192
26005,"Allegan County, Michigan",2004,110225
26005,"Allegan County, Michigan",2005,110865
26005,"Allegan County, Michigan",2006,111156
26005,"Allegan County, Michigan",2007,111427
26005,"Allegan County, Michigan",2008,111589
26005,"Allegan County, Michigan",2009,111252
26005,"Allegan County, Michigan",2010,111523
26005,"Allegan County, Michigan",2011,111163
26005,"Allegan County, Michigan",2012,111499
26005,"Allegan County, Michigan",2013,112009
26005,"Allegan County, Michigan",2014,113349
24001,"Allegany County, Maryland",2000,74804
24001,"Allegany County, Maryland",2001,74525
24001,"Allegany County, Maryland",2002,74204
24001,"Allegany County, Maryland",2003,74076
24001,"Allegany County, Maryland",2004,74408
24001,"Allegany County, Maryland",2005,73979
24001,"Allegany County, Maryland",2006,73980
24001,"Allegany County, Maryland",2007,74449
24001,"Allegany County, Maryland",2008,74638
24001,"Allegany County, Maryland",2009,75101
24001,"Allegany County, Maryland",2010,74965
24001,"Allegany County, Maryland",2011,74572
24001,"Allegany County, Maryland",2012,73947
24001,"Allegany County, Maryland",2013,73576
24001,"Allegany County, Maryland",2014,73020
36003,"Allegany County, New York",2000,49819
36003,"Allegany County, New York",2001,50079
36003,"Allegany County, New York",2002,50014
36003,"Allegany County, New York",2003,50165
36003,"Allegany County, New York",2004,50311
36003,"Allegany County, New York",2005,49768
36003,"Allegany County, New York",2006,49359
36003,"Allegany County, New York",2007,49079
36003,"Allegany County, New York",2008,49177
36003,"Allegany County, New York",2009,48969
36003,"Allegany County, New York",2010,48971
36003,"Allegany County, New York",2011,48800
36003,"Allegany County, New York",2012,48210
36003,"Allegany County, New York",2013,47900
36003,"Allegany County, New York",2014,47652
37005,"Alleghany County, North Carolina",2000,10673
37005,"Alleghany County, North Carolina",2001,10740
37005,"Alleghany County, North Carolina",2002,10740
37005,"Alleghany County, North Carolina",2003,10776
37005,"Alleghany County, North Carolina",2004,10790
37005,"Alleghany County, North Carolina",2005,10788
37005,"Alleghany County, North Carolina",2006,10940
37005,"Alleghany County, North Carolina",2007,11061
37005,"Alleghany County, North Carolina",2008,11131
37005,"Alleghany County, North Carolina",2009,11125
37005,"Alleghany County, North Carolina",2010,11137
