FIPS,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
12091,GovAid,13902000,15486000,15807000,16752000,17908000,21135000,19956000,19280000,18665000,19670000,21804000,21225000,23403000,23964000
12093,GovAid,2833000,3177000,3219000,3424000,3665000,4347000,4154000,4051000,3953000,4171000,4651000,4446000,4710000,4610000
12095,GovAid,74201000,84547000,86634000,93402000,100218000,121501000,117983000,116069000,114344000,122594000,138251000,135413000,148068000,153118000
12097,GovAid,14409000,16617000,17470000,19525000,21683000,26601000,26717000,27199000,27298000,29243000,33043000,32783000,36195000,37956000
12099,GovAid,93681000,105821000,108703000,116969000,124941000,148579000,141137000,137236000,134424000,143592000,161519000,156581000,169092000,172468000
12101,GovAid,28670000,32674000,33806000,36877000,40171000,49152000,48450000,48578000,48063000,50981000,56996000,54846000,58761000,59661000
12103,GovAid,75459000,83604000,83792000,88287000,91957000,107259000,100885000,97407000,94561000,99901000,111135000,106959000,114222000,115304000
12105,GovAid,39691000,44571000,45393000,48883000,52289000,63159000,62067000,62217000,61458000,65407000,73209000,71064000,76405000,77364000
12107,GovAid,5791000,6417000,6495000,6876000,7242000,8544000,8177000,7990000,7761000,8158000,9024000,8594000,9051000,9006000
12109,GovAid,10263000,11834000,12385000,13650000,15136000,18632000,18536000,18733000,18886000,20475000,23358000,23002000,25223000,26336000
12111,GovAid,16010000,18151000,18840000,20706000,22889000,28235000,28180000,28620000,28500000,30272000,34116000,33021000,35468000,35841000
12113,GovAid,9717000,11004000,11581000,12590000,13648000,16357000,15636000,15433000,15247000,16245000,18314000,17808000,19251000,19703000
12115,GovAid,26912000,30362000,31026000,33357000,35666000,42745000,40816000,40075000,39185000,41460000,46395000,44820000,48230000,48802000
12117,GovAid,30507000,34392000,35181000,37527000,39708000,47616000,45745000,44463000,43571000,46445000,52006000,50335000,54105000,55039000
12119,GovAid,3986000,4548000,4807000,5226000,5699000,7187000,7527000,7894000,8126000,9061000,10582000,10607000,11787000,12313000
12121,GovAid,2887000,3248000,3297000,3529000,3747000,4492000,4342000,4301000,4232000,4490000,4981000,4814000,5098000,5096000
12123,GovAid,1513000,1673000,1678000,1767000,1850000,2198000,2106000,2073000,2022000,2146000,2398000,2314000,2430000,2473000
12125,GovAid,782000,879000,888000,959000,1004000,1178000,1135000,1127000,1121000,1194000,1336000,1260000,1334000,1356000
12127,GovAid,36104000,40501000,41231000,44136000,46978000,55818000,53728000,52616000,51043000,53741000,59702000,57328000,61277000,61964000
12129,GovAid,1828000,2067000,2128000,2276000,2437000,2937000,2862000,2880000,2867000,3053000,3395000,3281000,3493000,3487000
12131,GovAid,3270000,3764000,3910000,4269000,4619000,5604000,5497000,5463000,5439000,5852000,6587000,6371000,6979000,7281000
12133,GovAid,1643000,1835000,1837000,1953000,2067000,2442000,2378000,2352000,2333000,2468000,2748000,2631000,2788000,2769000
22001,GovAid,4881000,5368000,5391000,5685000,5909000,6916000,6651000,6485000,6344000,6748000,7538000,7234000,7715000,7643000
22003,GovAid,1792000,1968000,1962000,2077000,2158000,2511000,2410000,2347000,2295000,2417000,2667000,2563000,2715000,2648000
22005,GovAid,6472000,7286000,7493000,8132000,8691000,10521000,10697000,10786000,10785000,11662000,13273000,12998000,14106000,14477000
22007,GovAid,1953000,2134000,2137000,2253000,2347000,2718000,2602000,2535000,2464000,2604000,2867000,2735000,2896000,2910000
22009,GovAid,3238000,3539000,3536000,3738000,3864000,4480000,4345000,4188000,4087000,4323000,4805000,4576000,4842000,4835000
22011,GovAid,2682000,2949000,2950000,3124000,3286000,3886000,3718000,3621000,3549000,3781000,4281000,4141000,4438000,4420000
22013,GovAid,1295000,1394000,1384000,1436000,1488000,1714000,1614000,1559000,1496000,1577000,1734000,1659000,1757000,1741000
22015,GovAid,8236000,9184000,9306000,9869000,10487000,12461000,12130000,11938000,11798000,12646000,14338000,14032000,15253000,15549000
