FIPS,year,co_year,County_name,storm,hit_year,treatment,NONPROFITS,CONT,EXPS,GRPROF,INVINC,OTHINC,TOTREV,TOTASS,LAND_AREA,pop,density,concentration,wealth,distribution,output,use,dependence,post,tpost,fixedcont
48361,2005,48361-2005,Orange County,IKE,2008,1,62,95883433,37810419,310962,26602094,7470370,140265808,410762869,333.666,83602,7.41609052415014e-4,0.3159824046920821,6625207.564516129,20.071178091341736,452.2669194516878,1546506.9838709678,68.35837925661826,0,0,14203809
48361,2006,48361-2006,Orange County,IKE,2008,1,70,15285215,35090632,345770,69759399,6819842,98574254,472501153,333.666,81822,8.555156314927526e-4,0.27311224489795916,6750016.471428571,27.39038024109256,428.86548849942557,218360.2142857143,15.506295386217175,0,0,14203809
48361,2007,48361-2007,Orange County,IKE,2008,1,77,14203809,34912707,562841,49218556,12061628,77940165,518433198,333.666,82496,9.333785880527541e-4,0.25965302051285033,6732898.675324676,16.714331947660625,423.20484629557797,184465.05194805196,18.223991442666307,0,0,14203809
48361,2010,48361-2010,Orange County,IKE,2008,1,74,21473520,42984892,407192,28740191,6363597,63140432,448416812,333.666,82012,9.023069794664195e-4,0.24483058942518404,6059686.6486486485,42.39885260909371,524.12929815149,290182.7027027027,34.00914330139521,1,2,14203809
48361,2011,48361-2011,Orange County,IKE,2008,1,76,21126327,43147878,258691,25956074,9764706,60693448,475956503,333.666,82341,9.229909765487424e-4,0.23576177285318556,6262585.565789473,50.886139210019266,524.0145006740263,277977.9868421053,34.80824981306055,1,3,14203809
48361,2012,48361-2012,Orange County,IKE,2008,1,76,13493598,41720384,234890,24504726,5368111,51182255,491375572,333.666,82887,9.169109751830806e-4,0.21637426900584797,6465468.052631579,46.19396749084249,503.3404997164815,177547.34210526315,26.363820820321415,1,4,14203809
48361,2013,48361-2013,Orange County,IKE,2008,1,70,9231892,39191319,353538,34381651,9026112,61833154,507506082,333.666,82811,8.452983299320139e-4,0.21439831104855736,7250086.885714286,51.075907660241896,473.26223569332575,131884.17142857143,14.930326859923722,1,5,14203809
48363,2000,48363-2000,Palo Pinto County,IKE,2008,0,37,10035493,13795007,820260,337396,176712,14662773,20573266,951.79,27084,0.001366120218579235,0.24866951893978925,556034.2162162162,10.643571445001612,509.3415669768129,271229.54054054053,68.44198570079479,0,0,3798307
48363,2001,48363-2001,Palo Pinto County,IKE,2008,0,38,2495464,5936071,870262,281816,134438,6571636,18329152,951.79,27086,0.001402938787565532,0.25999208547685004,482346.1052631579,11.468249100119388,219.15642767481356,65670.1052631579,37.973253539910004,0,0,3798307
48363,2002,48363-2002,Palo Pinto County,IKE,2008,0,41,12200285,16850312,893278,153147,126628,16668031,20934409,951.79,27056,0.0015153755174452986,0.2830797994391094,510595.34146341466,12.856031003264349,622.7939089296275,297567.9268292683,73.19571819850827,0,0,3798307
